Table with column headers in rows 3 and 4,,,,,
State FIPS Code, FIPS Code,Postal Code,Name,"Poverty Percent, All Ages",Median Household Income
06,001,CA,Alameda ,11.5,"81,462"
06,003,CA,Alpine ,19.0,"50,882"
06,005,CA,Amador ,13.1,"55,879"
06,007,CA,Butte ,21.4,"45,369"
06,009,CA,Calaveras ,13.0,"52,471"
06,011,CA,Colusa ,13.2,"51,118"
06,013,CA,Contra Costa ,10.2,"83,036"
06,015,CA,Del Norte ,23.3,"38,963"
06,017,CA,El Dorado ,9.1,"75,575"
06,019,CA,Fresno ,25.2,"46,608"
06,021,CA,Glenn ,18.5,"43,584"
06,023,CA,Humboldt ,20.9,"40,739"
06,025,CA,Imperial ,24.3,"39,925"
06,027,CA,Inyo ,12.4,"51,697"
06,029,CA,Kern ,21.9,"51,150"
06,031,CA,Kings ,22.4,"46,440"
06,033,CA,Lake ,20.5,"37,993"
06,035,CA,Lassen ,17.1,"54,670"
06,037,CA,Los Angeles ,16.7,"59,045"
06,039,CA,Madera ,22.6,"46,593"
06,041,CA,Marin ,7.5,"99,868"
06,043,CA,Mariposa ,15.2,"44,595"
06,045,CA,Mendocino ,20.3,"43,237"
06,047,CA,Merced ,25.9,"42,879"
06,049,CA,Modoc ,20.3,"38,402"
06,051,CA,Mono ,11.2,"53,992"
06,053,CA,Monterey ,15.3,"60,047"
06,055,CA,Napa ,10.1,"72,683"
06,057,CA,Nevada ,12.4,"57,627"
06,059,CA,Orange ,12.7,"78,002"
06,061,CA,Placer ,8.6,"76,203"
06,063,CA,Plumas ,13.8,"46,813"
06,065,CA,Riverside ,16.2,"57,895"
06,067,CA,Sacramento ,16.9,"58,735"
06,069,CA,San Benito ,9.3,"76,521"
06,071,CA,San Bernardino ,18.9,"53,526"
06,073,CA,San Diego ,13.9,"67,053"
06,075,CA,San Francisco ,12.4,"90,527"
06,077,CA,San Joaquin ,17.5,"53,341"
06,079,CA,San Luis Obispo ,14.4,"61,761"
06,081,CA,San Mateo ,8.4,"101,133"
06,083,CA,Santa Barbara ,15.6,"63,049"
06,085,CA,Santa Clara ,8.3,"102,191"
06,087,CA,Santa Cruz ,15.4,"64,841"
06,089,CA,Shasta ,19.0,"45,943"
06,091,CA,Sierra ,13.8,"47,535"
06,093,CA,Siskiyou ,22.6,"37,447"
06,095,CA,Solano ,12.0,"67,202"
06,097,CA,Sonoma ,11.0,"66,463"
06,099,CA,Stanislaus ,19.5,"51,949"
06,101,CA,Sutter ,17.5,"50,810"
06,103,CA,Tehama ,22.5,"40,292"
06,105,CA,Trinity ,19.7,"37,669"
06,107,CA,Tulare ,27.2,"42,637"
06,109,CA,Tuolumne ,14.5,"53,136"
06,111,CA,Ventura ,9.9,"79,285"
06,113,CA,Yolo ,17.5,"58,766"
06,115,CA,Yuba ,21.6,"46,500"